"id_player","ranked","player_name","player_position","age","team","games_played","games_started","minutes_played"
"achiupr01","1","Precious Achiuwa","PF","24","Toronto Raptors","25","0","437"
"achiupr01","1","Precious Achiuwa","PF","24","New York Knicks","49","18","1187"
"adebaba01","2","Bam Adebayo","C","26","Miami Heat","71","71","2416"
"agbajoc01","3","Ochai Agbaji","SG","23","Utah Jazz","51","10","1003"
"agbajoc01","3","Ochai Agbaji","SG","23","Toronto Raptors","27","18","638"
"aldamsa01","4","Santi Aldama","PF","23","Memphis Grizzlies","61","35","1618"
"alexani01","5","Nickeil Alexander-Walker","SG","25","Minnesota Timberwolves","82","20","1921"
"allengr01","6","Grayson Allen","SG","28","Phoenix Suns","75","74","2513"
"allenja01","7","Jarrett Allen","C","25","Cleveland Cavaliers","77","77","2442"
"allenti01","8","Timmy Allen","SF","24","Memphis Grizzlies","5","0","125"
"alvarjo01","9","Jose Alvarado","PG","25","New Orleans Pelicans","56","0","1028"
"anderky01","10","Kyle Anderson","PF","30","Minnesota Timberwolves","79","10","1782"
"antetgi01","11","Giannis Antetokounmpo","PF","29","Milwaukee Bucks","73","73","2567"
"antetth01","12","Thanasis Antetokounmpo","PF","31","Milwaukee Bucks","34","0","155"
"anthoco01","13","Cole Anthony","PG","23","Orlando Magic","81","0","1817"
"anunoog01","14","OG Anunoby","SF","26","Toronto Raptors","27","27","900"
"anunoog01","14","OG Anunoby","SF","26","New York Knicks","23","23","802"
"arcidry01","15","Ryan Arcidiacono","PG","29","New York Knicks","20","0","45"
"avdijde01","16","Deni Avdija","SF","23","Washington Wizards","75","75","2257"
"aytonde01","17","Deandre Ayton","C","25","Portland Trail Blazers","55","55","1784"
"azubuud01","18","Udoka Azubuike","C","24","Phoenix Suns","16","0","113"
"badjiib01","19","Ibou Badji","C","21","Portland Trail Blazers","22","1","226"
"baglema01","20","Marvin Bagley III","C","24","Detroit Pistons","26","10","478"
"baglema01","20","Marvin Bagley III","C","24","Washington Wizards","24","15","575"
"baileam01","21","Amari Bailey","PG","19","Charlotte Hornets","10","0","65"
"baldwpa01","22","Patrick Baldwin Jr.","SF","21","Washington Wizards","38","7","493"
"ballla01","23","LaMelo Ball","PG","22","Charlotte Hornets","22","22","711"
"bambamo01","24","Mo Bamba","C","25","Philadelphia 76ers","57","17","740"
"banchpa01","25","Paolo Banchero","PF","21","Orlando Magic","80","80","2799"
"banede01","26","Desmond Bane","SG","25","Memphis Grizzlies","42","42","1443"
"bantoda01","27","Dalano Banton","PG","24","Boston Celtics","24","1","171"
"bantoda01","27","Dalano Banton","PG","24","Portland Trail Blazers","30","8","876"
"barlodo01","28","Dominick Barlow","PF","20","San Antonio Spurs","33","1","420"
"barneha02","29","Harrison Barnes","PF","31","Sacramento Kings","82","82","2381"
"barnesc01","30","Scottie Barnes","SG","22","Toronto Raptors","60","60","2094"
"barrerj01","31","RJ Barrett","SG","23","New York Knicks","26","26","766"
"barrerj01","31","RJ Barrett","SG","23","Toronto Raptors","32","32","1072"
"bassech01","32","Charles Bassey","C","23","San Antonio Spurs","19","0","205"
"batesem01","33","Emoni Bates","SF","20","Cleveland Cavaliers","15","0","133"
"bateske01","34","Keita Bates-Diop","SF","28","Phoenix Suns","39","8","597"
"bateske01","34","Keita Bates-Diop","SF","28","Brooklyn Nets","14","0","68"
"batumni01","35","Nicolas Batum","PF","35","Los Angeles Clippers","3","0","54"
"batumni01","35","Nicolas Batum","PF","35","Philadelphia 76ers","57","38","1475"
"bazleda01","36","Darius Bazley","PF","23","Philadelphia 76ers","3","0","10"
"bazleda01","36","Darius Bazley","PF","23","Utah Jazz","6","0","142"
"bealbr01","37","Bradley Beal","SG","30","Phoenix Suns","53","53","1767"
"beaslma01","38","Malik Beasley","SG","27","Milwaukee Bucks","79","77","2337"
"beaucma01","39","MarJon Beauchamp","SF","23","Milwaukee Bucks","48","1","608"
"bernaju01","40","Jules Bernard","SG","24","Washington Wizards","19","0","149"
"bertada01","41","Davis Bertans","PF","31","Oklahoma City Thunder","15","0","91"
