"id_player","ranked","player_name","player_position","age","team","field_goal","field_goal_attempts","three_points","three_points_attempts","two_points","two_points_attempts","free_throws","free_throws_attempts","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","points"
"achiupr01","1","Precious Achiuwa","PF","24","Toronto Raptors","78","170","13","47","65","123","24","42","50","86","136","44","16","12","29","40","193"
"achiupr01","1","Precious Achiuwa","PF","24","New York Knicks","157","299","13","50","144","249","45","70","141","210","351","53","30","56","54","103","372"
"adebaba01","2","Bam Adebayo","C","26","Miami Heat","530","1017","15","42","515","975","292","387","159","578","737","278","81","66","162","159","1367"
"agbajoc01","3","Ochai Agbaji","SG","23","Utah Jazz","106","249","47","142","59","107","15","20","35","91","126","47","27","29","34","66","274"
"agbajoc01","3","Ochai Agbaji","SG","23","Toronto Raptors","72","184","15","69","57","115","22","36","39","51","90","36","20","15","30","51","181"
"aldamsa01","4","Santi Aldama","PF","23","Memphis Grizzlies","247","568","106","304","141","264","54","87","72","280","352","138","43","54","69","89","654"
"alexani01","5","Nickeil Alexander-Walker","SG","25","Minnesota Timberwolves","236","538","131","335","105","203","52","65","35","132","167","204","64","42","76","143","655"
"allengr01","6","Grayson Allen","SG","28","Phoenix Suns","340","682","205","445","135","237","129","147","48","247","295","227","69","45","95","157","1014"
"allenja01","7","Jarrett Allen","C","25","Cleveland Cavaliers","519","819","0","6","519","813","233","314","243","568","811","210","53","81","121","147","1271"
"allenti01","8","Timmy Allen","SF","24","Memphis Grizzlies","6","23","0","7","6","16","1","2","4","13","17","5","4","0","2","18","13"
"alvarjo01","9","Jose Alvarado","PG","25","New Orleans Pelicans","142","345","78","207","64","138","35","52","25","103","128","117","59","15","40","89","397"
"anderky01","10","Kyle Anderson","PF","30","Minnesota Timberwolves","199","433","11","48","188","385","97","137","60","213","273","331","71","47","91","128","506"
"antetgi01","11","Giannis Antetokounmpo","PF","29","Milwaukee Bucks","837","1369","34","124","803","1245","514","782","196","645","841","476","87","79","250","210","2222"
"antetth01","12","Thanasis Antetokounmpo","PF","31","Milwaukee Bucks","16","30","0","1","16","29","0","2","7","6","13","17","7","4","14","24","32"
"anthoco01","13","Cole Anthony","PG","23","Orlando Magic","332","763","93","275","239","488","180","218","64","247","311","236","64","37","126","175","937"
"anunoog01","14","OG Anunoby","SF","26","Toronto Raptors","157","321","61","163","96","158","33","46","24","82","106","72","28","13","43","62","408"
"anunoog01","14","OG Anunoby","SF","26","New York Knicks","125","256","41","104","84","152","34","43","23","79","102","35","40","23","38","57","325"
"arcidry01","15","Ryan Arcidiacono","PG","29","New York Knicks","0","6","0","6","0","0","0","0","0","8","8","4","2","0","2","5","0"
"avdijde01","16","Deni Avdija","SF","23","Washington Wizards","406","803","88","235","318","568","202","273","84","456","540","286","60","36","160","185","1102"
"aytonde01","17","Deandre Ayton","C","25","Portland Trail Blazers","427","749","1","10","426","739","65","79","176","433","609","90","56","42","99","109","920"
"azubuud01","18","Udoka Azubuike","C","24","Phoenix Suns","16","23","0","0","16","23","3","13","11","21","32","3","1","6","4","17","35"
"badjiib01","19","Ibou Badji","C","21","Portland Trail Blazers","14","22","0","0","14","22","6","12","20","31","51","13","3","20","15","46","34"
"baglema01","20","Marvin Bagley III","C","24","Detroit Pistons","107","181","1","6","106","175","50","61","46","72","118","27","5","14","29","40","265"
"baglema01","20","Marvin Bagley III","C","24","Washington Wizards","132","227","8","17","124","210","46","65","84","110","194","28","15","19","30","41","318"
"baileam01","21","Amari Bailey","PG","19","Charlotte Hornets","8","24","1","8","7","16","6","7","6","3","9","7","3","0","4","2","23"
"baldwpa01","22","Patrick Baldwin Jr.","SF","21","Washington Wizards","59","155","31","97","28","58","19","28","17","106","123","29","18","15","19","56","168"
"ballla01","23","LaMelo Ball","PG","22","Charlotte Hornets","183","423","70","197","113","226","90","104","29","84","113","176","40","4","83","79","526"
"bambamo01","24","Mo Bamba","C","25","Philadelphia 76ers","97","198","25","64","72","134","34","50","77","161","238","41","22","60","39","101","253"
"banchpa01","25","Paolo Banchero","PF","21","Orlando Magic","640","1407","119","351","521","1056","405","559","82","472","554","431","71","47","247","153","1804"
"banede01","26","Desmond Bane","SG","25","Memphis Grizzlies","360","776","137","360","223","416","140","161","36","149","185","230","43","22","112","120","997"
"bantoda01","27","Dalano Banton","PG","24","Boston Celtics","19","51","2","16","17","35","16","20","12","23","35","19","5","3","10","20","56"
"bantoda01","27","Dalano Banton","PG","24","Portland Trail Blazers","183","449","57","183","126","266","78","100","29","114","143","108","28","17","67","44","501"
"barlodo01","28","Dominick Barlow","PF","20","San Antonio Spurs","56","113","3","9","53","104","29","42","45","68","113","36","12","14","9","47","144"
"barneha02","29","Harrison Barnes","PF","31","Sacramento Kings","347","732","149","385","198","347","157","196","67","182","249","99","54","12","58","98","1000"
"barnesc01","30","Scottie Barnes","SG","22","Toronto Raptors","447","942","101","296","346","646","196","251","141","353","494","363","75","88","165","118","1191"
"barrerj01","31","RJ Barrett","SG","23","New York Knicks","164","388","43","130","121","258","103","124","19","92","111","63","12","9","47","45","474"
"barrerj01","31","RJ Barrett","SG","23","Toronto Raptors","272","492","47","120","225","372","105","167","34","170","204","130","19","13","79","84","696"
"bassech01","32","Charles Bassey","C","23","San Antonio Spurs","29","40","0","1","29","39","5","6","23","53","76","21","8","17","15","31","63"
"batesem01","33","Emoni Bates","SF","20","Cleveland Cavaliers","15","49","10","33","5","16","1","4","1","13","14","10","1","2","8","5","41"
"bateske01","34","Keita Bates-Diop","SF","28","Phoenix Suns","64","150","20","64","44","86","26","36","30","71","101","34","22","20","13","33","174"
"bateske01","34","Keita Bates-Diop","SF","28","Brooklyn Nets","8","16","1","5","7","11","6","6","1","8","9","4","3","2","2","2","23"
"batumni01","35","Nicolas Batum","PF","35","Los Angeles Clippers","3","8","2","7","1","1","0","0","0","7","7","5","3","4","1","5","8"
"batumni01","35","Nicolas Batum","PF","35","Philadelphia 76ers","113","248","71","178","42","70","15","21","70","171","241","123","45","34","39","104","312"
"bazleda01","36","Darius Bazley","PF","23","Philadelphia 76ers","0","1","0","0","0","1","0","0","0","1","1","2","0","0","1","0","0"
"bazleda01","36","Darius Bazley","PF","23","Utah Jazz","18","29","2","8","16","21","10","12","8","19","27","5","6","7","7","3","48"
"bealbr01","37","Bradley Beal","SG","30","Phoenix Suns","377","735","101","235","276","500","109","134","54","178","232","265","52","27","131","127","964"
"beaslma01","38","Malik Beasley","SG","27","Milwaukee Bucks","320","722","224","542","96","180","25","35","41","249","290","108","59","9","54","158","889"
"beaucma01","39","MarJon Beauchamp","SF","23","Milwaukee Bucks","81","166","30","75","51","91","19","28","22","77","99","31","13","7","27","54","211"
"bernaju01","40","Jules Bernard","SG","24","Washington Wizards","29","64","11","29","18","35","5","9","10","16","26","16","3","1","8","14","74"
"bertada01","41","Davis Bertans","PF","31","Oklahoma City Thunder","10","26","10","24","0","2","14","15","2","8","10","9","3","3","1","10","44"
"bertada01","41","Davis Bertans","PF","31","Charlotte Hornets","82","208","66","176","16","32","16","18","7","44","51","26","23","9","17","46","246"
"beverpa01","42","Patrick Beverley","PG","35","Philadelphia 76ers","104","241","35","109","69","132","51","63","30","115","145","144","24","18","49","83","294"
"beverpa01","42","Patrick Beverley","PG","35","Milwaukee Bucks","54","138","26","72","28","66","23","27","19","75","94","68","19","13","16","45","157"
"beysa01","43","Saddiq Bey","SF","24","Atlanta Hawks","290","697","113","358","177","339","170","203","167","244","411","92","51","11","54","88","863"
"bitadgo01","44","Goga Bitadze","C","24","Orlando Magic","126","209","2","14","124","195","57","87","109","177","286","79","32","72","44","107","311"
"bitimon01","45","Onuralp Bitim","SG","24","Chicago Bulls","32","84","12","44","20","40","4","5","6","26","32","13","3","2","10","24","80"
"biyombi01","46","Bismack Biyombo","C","31","Memphis Grizzlies","67","119","0","0","67","119","22","46","57","134","191","51","10","34","38","82","156"
"biyombi01","46","Bismack Biyombo","C","31","Oklahoma City Thunder","7","12","0","0","7","12","4","8","5","13","18","2","1","3","4","7","18"
"blackan01","47","Anthony Black","PG","20","Orlando Magic","115","247","37","94","78","153","49","80","33","106","139","91","35","21","56","110","316"
"blackle01","48","Leaky Black","SF","24","Charlotte Hornets","25","52","9","20","16","32","10","15","9","39","48","24","8","11","6","19","69"
"boehebu01","49","Buddy Boeheim","SF","24","Detroit Pistons","9","29","8","25","1","4","8","10","3","7","10","3","0","1","0","5","34"
"bogdabo01","50","Bogdan Bogdanovic","SG","31","Atlanta Hawks","471","1100","240","641","231","459","151","164","53","219","272","247","96","26","112","179","1333"
"bogdabo02","51","Bojan Bogdanovic","PF","34","Detroit Pistons","199","425","86","207","113","218","81","104","13","81","94","71","23","4","63","57","565"
"bogdabo02","51","Bojan Bogdanovic","SF","34","New York Knicks","110","256","47","127","63","129","36","45","9","49","58","26","7","1","38","38","303"
"bolbo01","52","Bol Bol","PF","24","Phoenix Suns","93","151","22","52","71","99","15","19","32","105","137","17","10","25","19","42","223"
"boldema01","53","Marques Bolden","C","25","Milwaukee Bucks","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","1","0"
"boldema01","53","Marques Bolden","C","25","Charlotte Hornets","17","25","0","1","17","24","3","4","10","22","32","4","3","7","3","9","37"
"bookede01","54","Devin Booker","PG","27","Phoenix Suns","642","1305","152","418","490","887","405","457","56","252","308","472","61","28","178","206","1841"
"bostobr01","55","Brandon Boston Jr.","SF","22","Los Angeles Clippers","65","161","14","52","51","109","23","33","19","33","52","13","11","8","24","40","167"
"bouchch01","56","Chris Boucher","PF","31","Toronto Raptors","110","217","31","94","79","123","71","92","62","145","207","23","14","24","28","68","322"
"bouknja01","57","James Bouknight","SG","23","Charlotte Hornets","18","41","13","30","5","11","1","2","1","8","9","6","1","1","2","3","50"
"bouyeja01","58","Jamaree Bouyea","PG","24","Portland Trail Blazers","5","21","0","8","5","13","0","0","2","8","10","8","0","0","8","3","10"
"bouyeja01","58","Jamaree Bouyea","PG","24","San Antonio Spurs","5","7","1","1","4","6","0","0","1","8","9","3","1","0","1","7","11"
"branhma01","59","Malaki Branham","PG","20","San Antonio Spurs","271","628","93","268","178","360","55","63","28","120","148","156","27","8","91","94","690"
"braunch01","60","Christian Braun","SG","22","Denver Nuggets","222","483","63","164","159","319","93","134","79","227","306","132","42","35","55","137","600"
"bridgmi01","61","Mikal Bridges","SF","27","Brooklyn Nets","564","1294","220","592","344","702","258","317","68","304","372","299","81","30","164","116","1606"
"bridgmi02","62","Miles Bridges","SF","25","Charlotte Hornets","559","1210","157","450","402","760","174","211","71","434","505","231","65","33","138","118","1449"
"brissos01","63","Oshae Brissett","SF","25","Boston Celtics","68","153","15","55","53","98","50","83","61","99","160","44","19","8","20","54","201"
"brockiz01","64","Izaiah Brockington","PG","24","New Orleans Pelicans","2","5","0","1","2","4","0","0","1","1","2","0","0","0","0","0","4"
"brogdma01","65","Malcolm Brogdon","PG","31","Portland Trail Blazers","218","496","82","199","136","297","95","116","28","120","148","214","27","8","60","58","613"
"brookar01","66","Armoni Brooks","PG","25","Brooklyn Nets","15","46","11","32","4","14","1","2","7","11","18","5","1","1","3","3","42"
"brookdi01","67","Dillon Brooks","SF","28","Houston Rockets","329","768","133","370","196","398","124","147","53","193","246","119","64","10","88","241","915"
"brownbr01","68","Bruce Brown","SG","27","Indiana Pacers","149","314","33","101","116","213","67","82","25","129","154","100","35","8","41","81","398"
"brownbr01","68","Bruce Brown","PG","27","Toronto Raptors","129","268","20","63","109","205","50","60","28","102","130","92","24","9","45","67","328"
"brownch02","69","Charlie Brown Jr.","SG","26","New York Knicks","2","10","2","7","0","3","0","0","1","1","2","0","0","2","2","5","6"
"browngr01","70","Greg Brown III","PF","22","Dallas Mavericks","5","11","1","3","4","8","4","9","3","6","9","4","0","4","4","5","15"
"brownja02","71","Jaylen Brown","SF","27","Boston Celtics","627","1256","145","410","482","846","211","300","84","303","387","249","83","37","166","185","1610"
"brownke03","72","Kendall Brown","SG","20","Indiana Pacers","8","15","0","2","8","13","5","8","3","2","5","5","0","0","2","9","21"
"brownko01","73","Kobe Brown","PF","24","Los Angeles Clippers","37","90","14","48","23","42","1","2","20","42","62","25","12","6","9","49","89"
"brownmo01","74","Moses Brown","C","24","Portland Trail Blazers","33","65","0","0","33","65","9","31","37","49","86","7","5","7","11","27","75"
"browntr01","75","Troy Brown Jr.","SF","24","Minnesota Timberwolves","52","118","31","84","21","34","19","22","14","58","72","35","8","2","18","26","154"
"browntr01","75","Troy Brown Jr.","SF","24","Detroit Pistons","32","108","16","57","16","51","13","15","11","61","72","25","16","1","12","16","93"
"brunsja01","76","Jalen Brunson","PG","27","New York Knicks","790","1648","211","526","579","1122","421","497","43","235","278","519","70","13","186","144","2212"
"bryanth01","77","Thomas Bryant","C","26","Miami Heat","86","149","4","22","82","127","41","47","40","101","141","23","10","16","21","46","217"
"bufkiko01","78","Kobe Bufkin","SG","20","Atlanta Hawks","34","92","9","40","25","52","4","8","6","27","33","27","7","5","10","20","81"
